round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,5,Tue,2018-11-27,21:00,Roma,2.1,0–2,1.7,Real Madrid,59124,Stadio Olimpico,Ruddy Buquet,/en/matches/71a2e596/Roma-Real-Madrid-November-27-2018-Champions-League,,71a2e596
Group stage,5,Wed,2018-11-28,18:55,Atlético Madrid,0.9,2–0,1.3,Monaco,56314,Estadio Wanda Metropolitano,Mattias Gestranius,/en/matches/1b3bdcdc/Atletico-Madrid-Monaco-November-28-2018-Champions-League,,1b3bdcdc
Group stage,5,Wed,2018-11-28,21:00,Dortmund,1.2,0–0,0.3,Club Brugge,66099,Signal Iduna Park,Gediminas Mažeika,/en/matches/7322bbd8/Dortmund-Club-Brugge-November-28-2018-Champions-League,,7322bbd8
Group stage,5,Wed,2018-11-28,20:55,Loko Moscow,1.4,2–0,1.3,Galatasaray,14037,RZD Arena,Antonio Matéu Lahoz,/en/matches/cd8c50cc/Lokomotiv-Moscow-Galatasaray-November-28-2018-Champions-League,,cd8c50cc
Group stage,5,Wed,2018-11-28,21:00,Napoli,2.4,3–1,0.8,Red Star,44470,Stadio San Paolo,Ricardo de Burgos,/en/matches/8d69041c/Napoli-Red-Star-November-28-2018-Champions-League,,8d69041c
Group stage,5,Wed,2018-11-28,21:00,PSV Eindhoven,3.0,1–2,2.4,Barcelona,34600,Philips Stadion,Miroslav Zelinka,/en/matches/9377a060/PSV-Eindhoven-Barcelona-November-28-2018-Champions-League,,9377a060
Group stage,5,Wed,2018-11-28,21:00,Paris S-G,1.5,2–1,1.3,Liverpool,46880,Parc des Princes,Tomasz Musiał,/en/matches/0b5760cc/Paris-Saint-Germain-Liverpool-November-28-2018-Champions-League,,0b5760cc
Group stage,5,Wed,2018-11-28,20:00,Porto,1.6,3–1,0.9,Schalke 04,41603,Estádio Do Dragão,Ovidiu Hațegan,/en/matches/b8513d9f/Porto-Schalke-04-November-28-2018-Champions-League,,b8513d9f
Group stage,5,Wed,2018-11-28,20:00,Tottenham,1.3,1–0,1.0,Inter,57132,Wembley Stadium,Baris Şimşek,/en/matches/1d386bc5/Tottenham-Hotspur-Internazionale-November-28-2018-Champions-League,,1d386bc5
Group stage,6,Tue,2018-12-11,21:00,Barcelona,1.3,1–1,2.4,Tottenham,69961,Camp Nou,Milorad Mažić,/en/matches/57137a56/Barcelona-Tottenham-Hotspur-December-11-2018-Champions-League,,57137a56
Group stage,6,Tue,2018-12-11,21:00,Club Brugge,0.6,0–0,0.4,Atlético Madrid,25645,Jan Breydelstadion,Davide Massa,/en/matches/4f8b2fdd/Club-Brugge-Atletico-Madrid-December-11-2018-Champions-League,,4f8b2fdd
Group stage,6,Tue,2018-12-11,20:55,Galatasaray,3.9,2–3,1.7,Porto,33972,Türk Telekom Arena,Aliaksei Kulbakou,/en/matches/a6f2e800/Galatasaray-Porto-December-11-2018-Champions-League,,a6f2e800
Group stage,6,Tue,2018-12-11,21:00,Inter,1.9,1–1,1.2,PSV Eindhoven,62533,Stadio Giuseppe Meazza,Felix Zwayer,/en/matches/e23c7560/Internazionale-PSV-Eindhoven-December-11-2018-Champions-League,,e23c7560
Group stage,6,Tue,2018-12-11,20:00,Liverpool,3.0,1–0,1.2,Napoli,52015,Anfield,Damir Skomina,/en/matches/7b50a4ef/Liverpool-Napoli-December-11-2018-Champions-League,,7b50a4ef
Group stage,6,Tue,2018-12-11,21:00,Monaco,0.6,0–2,2.6,Dortmund,8731,Stade Louis II,Craig Pawson,/en/matches/3d6a50a1/Monaco-Dortmund-December-11-2018-Champions-League,,3d6a50a1
